"02/06/08","C0216","SI160408","0042001-0002","Ring ladies","1","PCS","403.26","403.26","750","WG","0","CUSTOM","HDB-TWIN07","A3838-LP0007114B3000","FZE032/08/SHAL SA","HDB1333W","SOR040009","160000","7.91","","7.9074","21/04/08","MKS BRAND","7.9074","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042031-0002","Ring ladies","1","PCS","450.31","450.31","750","WG","0","CUSTOM","HDB-TWIN07","A3870-LP000711463124","FZE032/08/SHAL SA","HDB1381E","SOR040009","170000","8.09","","8.08728","21/04/08","MKS BRAND","8.08728","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042032-0002","Ring ladies","1","PCS","513.63","513.63","750","WG","0","CUSTOM","HDB-TWIN07","A3871-LP000711463000","FZE032/08/SHAL SA","HDB1382W","SOR040009","180000","7.65","","7.6452","21/04/08","MKS BRAND","7.6452","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042033-0002","Ring ladies","1","PCS","547.66","547.66","750","WG","0","CUSTOM","HDB-TWIN07","A3872-LP000711463124","FZE032/08/SHAL SA","HDB1383E","SOR040009","190000","8.36","","8.35664","21/04/08","MKS BRAND","8.35664","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042035-0002","Ring ladies","1","PCS","480.98","480.98","750","WG","0","CUSTOM","HDB-TWIN07","A3874-LP000711463124","FZE032/08/SHAL SA","HDB1385E","SOR040009","200000","6.92","","6.91936","21/04/08","MKS BRAND","6.91936","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042036-0002","Ring ladies","1","PCS","518.41","518.41","750","WG","0","CUSTOM","HDB-TWIN07","A3875-LP000711463000","FZE032/08/SHAL SA","HDB1386W","SOR040009","210000","6.87","","6.8728","21/04/08","MKS BRAND","6.8728","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042037-0002","Ring ladies","1","PCS","618.28","618.28","750","WG","0","CUSTOM","HDB-TWIN07","A3876-LP000711463124","FZE032/08/SHAL SA","HDB1387E","SOR040009","220000","8.63","","8.62872","21/04/08","MKS BRAND","8.62872","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042038-0002","Ring ladies","1","PCS","684.17","684.17","750","WG","0","CUSTOM","HDB-TWIN07","A3877-LP000711463000","FZE032/08/SHAL SA","HDB1388W","SOR040009","230000","7.9","","7.9024","21/04/08","MKS BRAND","7.9024","0.0309325546578240804"
"02/06/08","C0216","SI160408","0042061-0002","Ring ladies","1","PCS","773.76","773.76","750","WG","0","CUSTOM","HDB-TWIN07","A3948-LP0007114B3124","FZE032/08/SHAL SA","HDB1353E","SOR040009","240000","7.49","","7.48864","21/04/08","MKS BRAND","7.48864","0.0309325546578240804"
"02/06/08","C0216","SI160409","0042576-0002","Ring ladies","1","PCS","310.51","310.51","750","WG","0","CUSTOM","HDB-TWIN08","A4054-LP0007114B3124","FZE038/08","HDB1446","SOR040158","70000","4.99","","4.98928","06/05/08","MKS BRAND","4.98928","0.0309325546578240804"
"02/06/08","C0216","SI160409","0042577-0002","Ring ladies","1","PCS","339.37","339.37","750","WG","0","CUSTOM","HDB-TWIN08","A4055-LP0007114B3000","FZE038/08","HDB1447","SOR040158","80000","3.73","","3.72652","06/05/08","MKS BRAND","3.72652","0.0309325546578240804"
"02/06/08","C0216","SI160409","0042592-0002","Ring ladies","1","PCS","370.14","370.14","750","WG","0","CUSTOM","HDB-TWIN08","A4072-LP0007114B3124","FZE038/08","HDB1462","SOR040158","50000","5.88","","5.88188","06/05/08","MKS BRAND","5.88188","0.0309325546578240804"
"02/06/08","C0216","SI160409","0042593-0002","Ring ladies","1","PCS","372.11","372.11","750","WG","0","CUSTOM","HDB-TWIN08","A4073-LP0007114B3000","FZE038/08","HDB1463","SOR040158","60000","5.09","","5.08518","06/05/08","MKS BRAND","5.08518","0.0309325546578240804"
"02/06/08","C0216","SI160412","0042718-0002","Pendant","1","PCS","1,542.58","1,542.58","750","YG/WG/RG","0","CUSTOM","HDB-2008","A4128-GP0007514B3000","FZE008/08/Basel 2008","HDB1522","SOR039108","360000","12.98","","12.97786","25/01/08","MKS BRAND","12.97786","0.0309325546578240804"
"02/06/08","C0216","SI160413","0042792-0002","Earring Omega","1","PAIR","2,205.64","2,205.64","750","YG/WG/RG","0","CUSTOM","HDB-2008","A4173-AP0007514B3086","FZE011/08/Basel 2008","HDB1581","SOR039174","210000","28.66","","28.66","01/02/08","MKS BRAND","28.66","0.0309325546578240804"
"02/06/08","C0216","SI160413","0042795-0002","Ring ladies","1","PCS","786.22","786.22","750","RG/WG","0","CUSTOM","HDB-2008","A4176-LP000781433000","FZE011/08/Basel 2008","HDB1600","SOR039174","240000","10.4","","10.39948","01/02/08","MKS BRAND","10.39948","0.0309325546578240804"
"02/06/08","C0216","SI160413","0042805-0002","Ring ladies","1","PCS","600.17","600.17","750","WG","0","CUSTOM","HDB-2008","A4186-LP000711433000","FZE011/08/Basel 2008","MKS2389","SOR039174","340000","7.47","","7.47028","01/02/08","MKS BRAND","7.47028","0.0309325546578240804"
"02/06/08","C0216","SI160414","0042953-0002","Pendant","1","PCS","357.57","357.57","750","WG","0","CUSTOM","HDB-TWIN08","A4251-GP000711433000","FZE017/08/Sample","HDB1647","SOR039530","10000","5.7","","5.7029","06/03/08","MKS BRAND","5.7029","0.0309325546578240804"
